gene	Groups	New annotation -initial data	category	biological_process	cellular_component	molecular_function	rankEpith	rankFibers	rankwhole	tissue	ranktissue
Dhx9	mRNA pathway	mRNA binding, ATP helicase, c-myc mRNA stability	mRNA stability, Stress response	cellular response to heat  (pubmed id: 18755693), circadian rhythm  (pubmed id: 22767893), positive regulation of inflammatory response  (pubmed id: 28636595), positive regulation of innate immune response  (pubmed id: 28636595), positive regulation of interleukin-18 production  (pubmed id: 28636595), positive regulation of transcription by RNA polymerase II  (pubmed id: 21873635), pyroptosis  (pubmed id: 28636595), regulation of defense response to virus by host  (pubmed id: 28636595), regulation of mRNA processing  (pubmed id: 21873635)	nucleolus  (pubmed id: 21873635; 14729462), nucleus  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 21873635; 18809582)	ATP-dependent 3'-5' DNA helicase activity  (pubmed id: 21873635), ATP-dependent 3'-5' RNA helicase activity  (pubmed id: 21873635), ATP-dependent DNA helicase activity  (pubmed id: 21873635), protein binding  (pubmed id: 18068128), regulatory region RNA binding  (pubmed id: 28355180), RNA binding  (pubmed id: 21873635)	530	1587	1075	both	1075
Myef2	RNA-binding	RNA-binding protein (Mol Cell 2012), high in brain	mRNA stability, Stress response	negative regulation of transcription by RNA polymerase II  (pubmed id: 7539003), regulation of mRNA stability involved in response to oxidative stress  (pubmed id: 21873635)	cytoplasm  (pubmed id: 21873635), nucleus  (pubmed id: 21873635), post-mRNA release spliceosomal complex  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 21873635)	mRNA binding  (pubmed id: 21873635), RNA polymerase II proximal promoter sequence-specific DNA binding  (pubmed id: 21873635; 7539003), RNA polymerase II-specific  (pubmed id: 7539003)	1379	1521	1078	both	1078
Ddx19a	RNA-binding, enzyme	ATP helicase	enzyme	NA	NA	NA	1330	734	1100	both	1100
Snrpa1	Splicing	splicing	splicing	via spliceosome  (pubmed id: 21873635)	U2 snRNP  (pubmed id: 21873635)	U2 snRNA binding  (pubmed id: 21873635)	702	1578	1120	both	1120
G3bp2	Translation	regulation of translation with G3bp1 and Caprin1	translational regulation	small GTPase mediated signal transduction  (pubmed id: 9575347)	cytosol  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 21873635)	mRNA binding  (pubmed id: 21873635)	1742	992	1153	both	1153
Aco1	mRNA pathway	5'-UTR mRNA binding, regulation of ferritin mRNA, enzyme-aconitase	enzyme, mRNA stability, translational regulation	cellular iron ion homeostasis  (pubmed id: 14726953; 14726953), citrate metabolic process  (pubmed id: 21873635), intestinal absorption  (pubmed id: 18177727), post-embryonic development  (pubmed id: 18177727), regulation of gene expression  (pubmed id: 18177727), regulation of translation  (pubmed id: 14726953), tricarboxylic acid cycle  (pubmed id: 21873635)	cytoplasm  (pubmed id: 8262972), cytosol  (pubmed id: 21873635; 14726953), mitochondrion  (pubmed id: 18614015; 21873635)	4 sulfur cluster binding  (pubmed id: 21873635; 21873635), aconitate hydratase activity  (pubmed id: 21873635; 14726953), iron-responsive element binding  (pubmed id: 21873635; 8262972)	858	1433	1154	both	1154
Rbm39	Splicing	splicing	splicing	DNA-templated  (pubmed id: 11704680)	nucleus  (pubmed id: 11704680)	protein binding  (pubmed id: 11704680), transcription coactivator activity  (pubmed id: 11704680)	1107	1480	1171	both	1171
Fbl	rRNA pathway, enzyme	snRNP component, enzyme: methyltransferase	rRNA pathway, enzyme	box C/D snoRNA 3'-end processing  (pubmed id: 21873635), histone glutamine methylation  (pubmed id: 21873635), rRNA methylation  (pubmed id: 21873635), snoRNA metabolic process  (pubmed id: 14612397)	box C/D snoRNP complex  (pubmed id: 21873635), Cajal body  (pubmed id: 21873635; 7768196), granular component  (pubmed id: 15485902), nucleolus  (pubmed id: 7772340; 17158916; 15494374), small-subunit processome  (pubmed id: 21873635)	histone-glutamine methyltransferase activity  (pubmed id: 21873635), RNA binding  (pubmed id: 21873635), rRNA methyltransferase activity  (pubmed id: 21873635)	656	1059	1175	both	1175
Ilf3	mRNA pathway	mRNA stabilization and cellular distribution, binds also dsRNA	mRNA stability, translational regulation, mRNA transport	negative regulation of translation  (pubmed id: 21123651), negative regulation of viral genome replication  (pubmed id: 21123651), protein methylation  (pubmed id: 10749851), protein phosphorylation  (pubmed id: 21123651)	cytoplasm  (pubmed id: 21123651), nucleus  (pubmed id: 21873635; 21123651; 10749851)	DNA binding  (pubmed id: 11804788), double-stranded RNA binding  (pubmed id: 21873635), single-stranded RNA binding  (pubmed id: 21873635)	593	1290	1188	both	1188
Ppie	mRNA pathway, splicing	splicing, poly(A) mRNA binding, chaperone	splicing, chaperone	protein refolding  (pubmed id: 21873635)	NA	cyclosporin A binding  (pubmed id: 21873635), peptidyl-prolyl cis-trans isomerase activity  (pubmed id: 21873635), unfolded protein binding  (pubmed id: 21873635)	968	1264	1198	both	1198
Ddx6	mRNA pathway, enzyme	mRNA degradation, ATP helicase, required for miRNA-mediated silencing	mRNA degradation, Helicase	cytoplasmic mRNA processing body assembly  (pubmed id: 20826699), negative regulation of neuron differentiation  (pubmed id: 25456498), stem cell population maintenance  (pubmed id: 25456498)	cytoplasm  (pubmed id: 20014101), P-body  (pubmed id: 25456498; 20826699)	NA	744	1015	1203	both	1203
Snrpc	Splicing	splicing, snRNP particle	splicing	mRNA 5'-splice site recognition  (pubmed id: 21873635)	U1 snRNP  (pubmed id: 21873635)	pre-mRNA 5'-splice site binding  (pubmed id: 21873635)	1039	858	1217	both	1217
Mars	tRNA pathway, enzyme	tRNA synthetase	tRNA pathway	methionyl-tRNA aminoacylation  (pubmed id: 12060739)	aminoacyl-tRNA synthetase multienzyme complex  (pubmed id: 12060739), cytosol  (pubmed id: 21873635), mitochondrion  (pubmed id: 18614015)	methionine-tRNA ligase activity  (pubmed id: 12060739)	1145	1027	1249	both	1249
Ddx17	Splicing, miRNA pathway, enzyme	ATP helicase, transcription, splicing, mIRNAs	splicing, Helicase	myoblast differentiation  (pubmed id: 24910439), pri-miRNA transcription by RNA polymerase II  (pubmed id: 24910439), via spliceosome  (pubmed id: 24910439; 23022728)	NA	protein binding  (pubmed id: 24581491)	802	1620	1268	both	1268
Srp19	signal recognition particle; binding to ribosomes	subunit of signal recognition particle (SRP)	mRNA transport	signal sequence recognition  (pubmed id: 21873635)	endoplasmic reticulum targeting  (pubmed id: 21873635)	7S RNA binding  (pubmed id: 21873635)	1339	961	1300	both	1300
Sf3b4	Splicing	splicing	splicing	via spliceosome  (pubmed id: 21873635; 23636947)	nucleolus  (pubmed id: 21873635), nucleus  (pubmed id: 21873635), ribonucleoprotein complex  (pubmed id: 21873635), spliceosomal complex  (pubmed id: 21873635), U12-type spliceosomal complex  (pubmed id: 21873635)	RNA binding  (pubmed id: 21873635)	1004	1111	1314	both	1314
Nudt16l1	mRNA pathway	RNA-binding protein (Mol Cell 2012), RNA decapping enzyme	mRNA degradation	NA	NA	m7G(5')pppN diphosphatase activity  (pubmed id: 21070968)	1521	1308	1355	both	1355
Fip1l1	mRNA pathway	mRNA cleveage and polyadenylation	Pre-mRNA processing	mRNA polyadenylation  (pubmed id: 21873635; 19224921), pre-mRNA cleavage required for polyadenylation  (pubmed id: 21873635)	mRNA cleavage and polyadenylation specificity factor complex  (pubmed id: 21873635; 19224921), nucleus  (pubmed id: 19224921)	protein binding  (pubmed id: 19224921), RNA binding  (pubmed id: 21873635)	1212	1572	1364	both	1364
Nono	RNA-binding, splicing	RNA-binding (Cell 2012), transcription, splicing	splicing	DNA-templated  (pubmed id: 22966205), regulation of circadian rhythm  (pubmed id: 22966205)	nucleus  (pubmed id: 21873635; 15860628), paraspeckles  (pubmed id: 19217333), RNA polymerase II transcription factor complex  (pubmed id: 19389484)	chromatin binding  (pubmed id: 19389484), E-box binding  (pubmed id: 22966205), protein binding  (pubmed id: 8626664), RNA polymerase II distal enhancer sequence-specific DNA binding  (pubmed id: 19389484), transcription regulatory region sequence-specific DNA binding  (pubmed id: 21873635)	706	1352	1381	both	1381
Dkc1	Telomerase, enzyme	snoRNP, telomerase, enzyme:pseudouridine synthase	rRNA pathway, snRNA pathway	box H/ACA snoRNA 3'-end processing  (pubmed id: 21873635), box H/ACA snoRNA metabolic process  (pubmed id: 23726835), mRNA pseudouridine synthesis  (pubmed id: 21873635), positive regulation of telomerase activity  (pubmed id: 15240872), positive regulation of telomere maintenance via telomerase  (pubmed id: 15240872), rRNA pseudouridine synthesis  (pubmed id: 21873635; 15240872), snRNA pseudouridine synthesis  (pubmed id: 21873635)	box H/ACA snoRNP complex  (pubmed id: 21873635), Cajal body  (pubmed id: 23726835), nucleolus  (pubmed id: 23726835)	protein binding  (pubmed id: 23685356), pseudouridine synthase activity  (pubmed id: 21873635)	850	1772	1431	both	1431
Trove2 (official: Ro60)	RNA-binding	RNA-binding protein, Alu transcripts	ncRNA pathway	cilium assembly  (pubmed id: 21289087), immune system development  (pubmed id: 12788971), response to UV  (pubmed id: 14680639; 12788971), smoothened signaling pathway  (pubmed id: 21289087)	cytoplasm  (pubmed id: 14680639), nucleus  (pubmed id: 14680639), ribonucleoprotein complex  (pubmed id: 21873635; 14680639)	misfolded RNA binding  (pubmed id: 14680639), RNA binding  (pubmed id: 21873635; 14680639), U2 snRNA binding  (pubmed id: 14680639)	817	1292	1454	both	1454
Sart3	Splicing	splicing, U4/U6 recycling protein	splicing	cell morphogenesis  (pubmed id: 21447833), hematopoietic stem cell proliferation  (pubmed id: 21447833), homeostasis of number of cells  (pubmed id: 21447833), regulation of gene expression  (pubmed id: 21447833), RNA splicing  (pubmed id: 21873635), via spliceosome  (pubmed id: 21873635; 21873635)	ASAP complex  (pubmed id: 21873635), Cajal body  (pubmed id: 12578909), cytoplasm  (pubmed id: 21873635), nucleoplasm  (pubmed id: 21873635; 12578909), nucleus  (pubmed id: 10761712)	RNA binding  (pubmed id: 10761712)	1244	1762	1477	both	1477
Sf3b1	Splicing	splicing	splicing	anterior/posterior pattern specification  (pubmed id: 15741318), blastocyst formation  (pubmed id: 23211737), via spliceosome  (pubmed id: 23211737; 11252167)	catalytic step 2 spliceosome  (pubmed id: 21873635), chromatin  (pubmed id: 20153721), nuclear matrix  (pubmed id: 20153721), nucleus  (pubmed id: 20153721; 18559850), small nuclear ribonucleoprotein complex  (pubmed id: 20153721), U11/U12 snRNP  (pubmed id: 11252167), U12-type spliceosomal complex  (pubmed id: 21873635), U2 snRNP  (pubmed id: 21873635; 11252167), U2-type prespliceosome  (pubmed id: 21873635)	chromatin binding  (pubmed id: 15741318), mRNA binding  (pubmed id: 21873635), protein binding  (pubmed id: 15741318)	929	1610	1511	both	1511
Prpf8	Splicing	splicing (retinal degeneration and glaucoma)	splicing	spliceosomal tri-snRNP complex assembly  (pubmed id: 21873635)	catalytic step 2 spliceosome  (pubmed id: 21873635), U5 snRNP  (pubmed id: 21873635)	pre-mRNA intronic binding  (pubmed id: 21873635), second spliceosomal transesterification activity  (pubmed id: 21873635), U1 snRNA binding  (pubmed id: 21873635), U2 snRNA binding  (pubmed id: 21873635), U5 snRNA binding  (pubmed id: 21873635), U6 snRNA binding  (pubmed id: 21873635)	1098	1741	1674	both	1674
Cdc5l	Splicing	splicing	splicing	NA	NA	NA	814	1725	1724	both	1724
Cstf2t	mRNA pathway	mRNA cleveage and polyadenylation	Pre-mRNA processing	mRNA polyadenylation  (pubmed id: 11113135), pre-mRNA cleavage required for polyadenylation  (pubmed id: 21873635)	mRNA cleavage and polyadenylation specificity factor complex  (pubmed id: 21873635)	mRNA binding  (pubmed id: 21873635), RNA binding  (pubmed id: 21873635; 11113135)	1788	1370	1812	both	1812
Srsf2	Splicing	splicing, RNA binding (Mol Cell 2012)	splicing	via spliceosome  (pubmed id: 21873635; 21470964; 21873635)	cytoplasm  (pubmed id: 21873635), nuclear speck  (pubmed id: 21873635; 15564382; 15798186), nucleus  (pubmed id: 21873635; 11641275), spliceosomal complex  (pubmed id: 11827461)	pre-mRNA binding  (pubmed id: 21470964), protein binding  (pubmed id: 11739632), RNA binding  (pubmed id: 21873635)	748	1106	2345	both	2345
Rpl8	Ribosomal protein	ribosomal protein	ribosomal protein	cytoplasmic translation  (pubmed id: 21873635)	cytosolic large ribosomal subunit  (pubmed id: 21873635), synapse  (pubmed id: 16452087; 16452087)	protein binding  (pubmed id: 19129230), structural constituent of ribosome  (pubmed id: 21873635)	1289	1064	4446	both	4446
